context,question,text,answer_start,n_words,비고
"You’re not working on Monday? You didn’t work on Thursday, either! How many vacation days do you get? You certainly seem to get more than I do!
Well, actually I get twenty-five days of vacation, just like you, but my company allows us to work weekends and trade that for week days off. I worked two Saturdays in February and three Sundays in March, so now I have extra days to take.
I wish my company was flexible like that, but our office is totally closed on weekends.",How many days did the woman work on the weekend in Februrary?,two Saturdays,,,
"You’re not working on Monday? You didn’t work on Thursday, either! How many vacation days do you get? You certainly seem to get more than I do!
Well, actually I get twenty-five days of vacation, just like you, but my company allows us to work weekends and trade that for week days off. I worked two Saturdays in February and three Sundays in March, so now I have extra days to take.
I wish my company was flexible like that, but our office is totally closed on weekends.",How many vacation days do the woman get?,twenty-five days,,,
"You’re not working on Monday? You didn’t work on Thursday, either! How many vacation days do you get? You certainly seem to get more than I do!
Well, actually I get twenty-five days of vacation, just like you, but my company allows us to work weekends and trade that for week days off. I worked two Saturdays in February and three Sundays in March, so now I have extra days to take.
I wish my company was flexible like that, but our office is totally closed on weekends.",How many days did the woman work on the weekend in March?,three Sundays,,,
"You’re not working on Monday? You didn’t work on Thursday, either! How many vacation days do you get? You certainly seem to get more than I do!
Well, actually I get twenty-five days of vacation, just like you, but my company allows us to work weekends and trade that for week days off. I worked two Saturdays in February and three Sundays in March, so now I have extra days to take.
I wish my company was flexible like that, but our office is totally closed on weekends.",When is the man's office closed?,on weekends,,,
"You’re not working on Monday? You didn’t work on Thursday, either! How many vacation days do you get? You certainly seem to get more than I do!
Well, actually I get twenty-five days of vacation, just like you, but my company allows us to work weekends and trade that for week days off. I worked two Saturdays in February and three Sundays in March, so now I have extra days to take.
I wish my company was flexible like that, but our office is totally closed on weekends.",What are the speakers talking about?,vacation days,,,
"Well, Mr. Donahue, I think that’s all we have to ask you. Now it’s your turn to do the speaking! Do you have any questions you’d like to ask us about the job?
Well, yes there are few things. For example, you asked me earlier if I had any project management experience. Does that mean that you’re looking for people with this kind of experience?
Oh, not necessarily, although clearly it would be an advantage. But no, what we’re looking for is the potential for leadership. Obviously the most important skills for the current job are the necessary computer programming expertise, but if we think someone has the necessary skills set for a leadership role in the future-things like organizational and communication skills, then we’re interested.
I see. Because, you see, although I haven’t actually done any project management, I did learn the principles when I was in university.",What did the speaker learn in university?,the principles,,,
"Well, Mr. Donahue, I think that’s all we have to ask you. Now it’s your turn to do the speaking! Do you have any questions you’d like to ask us about the job?
Well, yes there are few things. For example, you asked me earlier if I had any project management experience. Does that mean that you’re looking for people with this kind of experience?
Oh, not necessarily, although clearly it would be an advantage. But no, what we’re looking for is the potential for leadership. Obviously the most important skills for the current job are the necessary computer programming expertise, but if we think someone has the necessary skills set for a leadership role in the future-things like organizational and communication skills, then we’re interested.
I see. Because, you see, although I haven’t actually done any project management, I did learn the principles when I was in university.",What did the speaker ask about earlier?,project management experience,,,
"Well, Mr. Donahue, I think that’s all we have to ask you. Now it’s your turn to do the speaking! Do you have any questions you’d like to ask us about the job?
Well, yes there are few things. For example, you asked me earlier if I had any project management experience. Does that mean that you’re looking for people with this kind of experience?
Oh, not necessarily, although clearly it would be an advantage. But no, what we’re looking for is the potential for leadership. Obviously the most important skills for the current job are the necessary computer programming expertise, but if we think someone has the necessary skills set for a leadership role in the future-things like organizational and communication skills, then we’re interested.
I see. Because, you see, although I haven’t actually done any project management, I did learn the principles when I was in university.",Is the speaker looking for people with experience?,not necessarily,,,
"Well, Mr. Donahue, I think that’s all we have to ask you. Now it’s your turn to do the speaking! Do you have any questions you’d like to ask us about the job?
Well, yes there are few things. For example, you asked me earlier if I had any project management experience. Does that mean that you’re looking for people with this kind of experience?
Oh, not necessarily, although clearly it would be an advantage. But no, what we’re looking for is the potential for leadership. Obviously the most important skills for the current job are the necessary computer programming expertise, but if we think someone has the necessary skills set for a leadership role in the future-things like organizational and communication skills, then we’re interested.
I see. Because, you see, although I haven’t actually done any project management, I did learn the principles when I was in university.",What is the speaker looking for?,the potential for leadership,,,
"Well, Mr. Donahue, I think that’s all we have to ask you. Now it’s your turn to do the speaking! Do you have any questions you’d like to ask us about the job?
Well, yes there are few things. For example, you asked me earlier if I had any project management experience. Does that mean that you’re looking for people with this kind of experience?
Oh, not necessarily, although clearly it would be an advantage. But no, what we’re looking for is the potential for leadership. Obviously the most important skills for the current job are the necessary computer programming expertise, but if we think someone has the necessary skills set for a leadership role in the future-things like organizational and communication skills, then we’re interested.
I see. Because, you see, although I haven’t actually done any project management, I did learn the principles when I was in university.",What is the most important skills for the current job?,the necessary computer programming expertise,,,
