context,question,text,title,
"Honey, I’m home.
How was your day?
Alright. Hey, did you order something? There’s a large box outside the door.
It’s the tent we bought online for our camping trip. I’m returning it.
Is it because of the size? I remember you said it might be a little small to fit
all of us.
Actually, when I set up the tent, it seemed big enough to hold us all.
Then, did you find a cheaper one on another website?
No, price is not the issue.
Then, why are you returning the tent?
It’s too heavy to carry around. We usually have to walk a bit to get to the
campsite.
I see. Is someone coming to pick up the box?
Yes. I already scheduled a pickup.",why does he want to take the tent back? ,too heavy to carry around,meeting_1,113
"I must apologize for dragging you
all here at such an uncommon hour.
But from what I've been told, this
matter needs to be dealt with urgently.
So urgently, in fact, it probably
should have been addressed weeks ago.
But that is spilt milk
under the bridge.
So, why doesn't somebody tell me
what they think is going on here?
Mr. Tuld, as
I mentioned earlier,
if you compare the figure
at the top of page 13...
Jared, it's a little early for all that.
Just speak to me in plain English.
Okay.
In fact, I'd like to speak to
the guy who put this together.
Mr. Sullivan, is it?
Does he speak English?
I'd like to speak
with the analyst
who seems to have
stumbled across this mess.
Certainly. That would be
Peter Sullivan. Right here.
Oh, Mr. Sullivan, you're here.
Good morning.
Maybe you could tell me what
you think is going on here.
And please, speak as you
might to a young child
or a golden retriever.
It wasn't brains that got me here.
I can assure you of that.
Well, um...
Sir, as you mayor may not know, I work
here for Mr. Rogers as an
associate in the Risk Assessment
and Management Office at MBS.
Please. Just relax. Stand up.
Tell us in a clear voice.
What is the nature
of the problem?
Okay.",who wrote the report? ,Peter Sullivan.,meeting_2,184
"I must apologize for dragging you
all here at such an uncommon hour.
But from what I've been told, this
matter needs to be dealt with urgently.
So urgently, in fact, it probably
should have been addressed weeks ago.
But that is spilt milk
under the bridge.
So, why doesn't somebody tell me
what they think is going on here?
Mr. Tuld, as
I mentioned earlier,
if you compare the figure
at the top of page 13...
Jared, it's a little early for all that.
Just speak to me in plain English.
Okay.
In fact, I'd like to speak to
the guy who put this together.
Mr. Sullivan, is it?
Does he speak English?
I'd like to speak
with the analyst
who seems to have
stumbled across this mess.
Certainly. That would be
Peter Sullivan. Right here.
Oh, Mr. Sullivan, you're here.
Good morning.
Maybe you could tell me what
you think is going on here.
And please, speak as you
might to a young child
or a golden retriever.
It wasn't brains that got me here.
I can assure you of that.
Well, um...
Sir, as you mayor may not know, I work
here for Mr. Rogers as an
associate in the Risk Assessment
and Management Office at MBS.
Please. Just relax. Stand up.
Tell us in a clear voice.
What is the nature
of the problem?
Okay.",what department Mr. Sullivan works in? ,"in the Risk Assessment
and Management Office at MBS.",meeting_2,184
"I must apologize for dragging you
all here at such an uncommon hour.
But from what I've been told, this
matter needs to be dealt with urgently.
So urgently, in fact, it probably
should have been addressed weeks ago.
But that is spilt milk
under the bridge.
So, why doesn't somebody tell me
what they think is going on here?
Mr. Tuld, as
I mentioned earlier,
if you compare the figure
at the top of page 13...
Jared, it's a little early for all that.
Just speak to me in plain English.
Okay.
In fact, I'd like to speak to
the guy who put this together.
Mr. Sullivan, is it?
Does he speak English?
I'd like to speak
with the analyst
who seems to have
stumbled across this mess.
Certainly. That would be
Peter Sullivan. Right here.
Oh, Mr. Sullivan, you're here.
Good morning.
Maybe you could tell me what
you think is going on here.
And please, speak as you
might to a young child
or a golden retriever.
It wasn't brains that got me here.
I can assure you of that.
Well, um...
Sir, as you mayor may not know, I work
here for Mr. Rogers as an
associate in the Risk Assessment
and Management Office at MBS.
Please. Just relax. Stand up.
Tell us in a clear voice.
What is the nature
of the problem?
Okay.",when did the meeting start?,,meeting_2,184
"I must apologize for dragging you
all here at such an uncommon hour.
But from what I've been told, this
matter needs to be dealt with urgently.
So urgently, in fact, it probably
should have been addressed weeks ago.
But that is spilt milk
under the bridge.
So, why doesn't somebody tell me
what they think is going on here?
Mr. Tuld, as
I mentioned earlier,
if you compare the figure
at the top of page 13...
Jared, it's a little early for all that.
Just speak to me in plain English.
Okay.
In fact, I'd like to speak to
the guy who put this together.
Mr. Sullivan, is it?
Does he speak English?
I'd like to speak
with the analyst
who seems to have
stumbled across this mess.
Certainly. That would be
Peter Sullivan. Right here.
Oh, Mr. Sullivan, you're here.
Good morning.
Maybe you could tell me what
you think is going on here.
And please, speak as you
might to a young child
or a golden retriever.
It wasn't brains that got me here.
I can assure you of that.
Well, um...
Sir, as you mayor may not know, I work
here for Mr. Rogers as an
associate in the Risk Assessment
and Management Office at MBS.
Please. Just relax. Stand up.
Tell us in a clear voice.
What is the nature
of the problem?
Okay.",what is the main issue?,,meeting_2,184
"As you probably know,
over the last 36 to 41 months
the firm has begun packaging
new MBS products that combine
several different tranches
of rating classifications
in one tradable security.
This has been
enormously profitable,
as I imagine you noticed.
I have.
The firm is currently doing
a considerable amount
of this business every day.
Now, the problem, which is, I
guess, why we are here tonight,
is that is takes us,
the firm, about a month
to layer these products correctly,
thereby posing a challenge
from a Risk Management
standpoint.
And, Mr. Sullivan,
that challenge is?
We have to hold these assets on our books
longer than we might ideally like to.
Yes.
But the key factor here is these
are essentially just mortgages.
So that has allowed us to push
the leverage considerably beyond
what you might be willing or allowed
to do in any other circumstance,
thereby pushing the risk profile
without raising any red flags.
Now... Thank you,
Mr. Sullivan. Sit down.
What I'm guessing your
report here says,
and give me some rope here.
What I'm guessing it says is that
considering the, shall we say,
bumpy road we've been on
the last week or so,
that the figures your brilliant co-workers
up the line ahead of you have come
up with don't make
much sense anymore
considering what's
taking place today.
Actually, not what's
taking place today,
but what's already taken place
over the last two weeks.",what is the main issue?,"pushing the risk profile
without raising any red flags.",meeting_2,191
"As you probably know,
over the last 36 to 41 months
the firm has begun packaging
new MBS products that combine
several different tranches
of rating classifications
in one tradable security.
This has been
enormously profitable,
as I imagine you noticed.
I have.
The firm is currently doing
a considerable amount
of this business every day.
Now, the problem, which is, I
guess, why we are here tonight,
is that is takes us,
the firm, about a month
to layer these products correctly,
thereby posing a challenge
from a Risk Management
standpoint.
And, Mr. Sullivan,
that challenge is?
We have to hold these assets on our books
longer than we might ideally like to.
Yes.
But the key factor here is these
are essentially just mortgages.
So that has allowed us to push
the leverage considerably beyond
what you might be willing or allowed
to do in any other circumstance,
thereby pushing the risk profile
without raising any red flags.
Now... Thank you,
Mr. Sullivan. Sit down.
What I'm guessing your
report here says,
and give me some rope here.
What I'm guessing it says is that
considering the, shall we say,
bumpy road we've been on
the last week or so,
that the figures your brilliant co-workers
up the line ahead of you have come
up with don't make
much sense anymore
considering what's
taking place today.
Actually, not what's
taking place today,
but what's already taken place
over the last two weeks.",when did the problem start?,the last two weeks.,meeting_2,191
"So, you're saying
this has already happened?
Sort of.
And, Mr. Sullivan, what does your model
say that, that means for us here.
Well, that's where it
becomes a projection.
But...
You're speaking with
me, Mr. Sullivan.
Well, sir,
if those assets
decrease by just 25%
and remain on our books,
that loss would be greater than
the current market capitalization
of this entire company.
So, what you're telling me
is that the music
is about to stop
and we're going to be left
holding the biggest bag
of odorous excrement
ever assembled
in the history of
capitalism.
Sir, I'm not sure that I would put it
that way. But let me clarify.
Using your analogy,
what this model shows
is the music, so to
speak, just slowing.
If the music were to
stop, as you put it,
then this model wouldn't be
even close to that scenario.
It would be
considerably worse.
Let me tell you something,
Mr. Sullivan.
Do you care to know why I'm
in this chair with you all?
I mean, why I earn
the big bucks?
Yes.
I'm here for one reason
and one reason alone.
I'm here to guess what the music might
do a week, a month, a year from now.
That's it.",what does the model predict about the company?,"if those assets
decrease by just 25%
and remain on our books,
that loss would be greater than
the current market capitalization
of this entire company.",meeting_2,161
"Nothing more.
And standing here tonight,
I'm afraid that
I don't hear a thing.
Just
silence.
So, now that we know the music has
stopped, what can we do about it?
Mr. Cohen? Ms. Robertson?
I'm afraid I think this is where
you're supposed to step back in.
on Mr. Sullivan tonight.
What do you have for us?
What have I told you since the first
day you stepped into my office?
There are three ways to make
a living in this business,
be first, be smarter,
or cheat.
Now, I don't cheat.
And although I like to think we have some
pretty smart people in this building,
it sure is a hell of a lot
easier to just be first.
Sell it all. Today.
Is that even possible, Sam?
Yes, but at what cost?
I'll have to pay.
Really?
I think so.
Where is this going
to come back to us?
Everywhere.
Sam, I don't think you to understand
what your boy here has just said.
If I made you,
how would you do this?
You call the traders in for their normal
6:30 meeting and you be honest with them.
Because they're going to know
it's the end either way.
You're going to have to throw them
a bone, and a pretty big one.
And then you've got to come
out of the gates storming.
No swaps. No nothing.",What is the conclusion that the mayor made?,Sell it all. Today.,meeting_2,186
"Nothing more.
And standing here tonight,
I'm afraid that
I don't hear a thing.
Just
silence.
So, now that we know the music has
stopped, what can we do about it?
Mr. Cohen? Ms. Robertson?
I'm afraid I think this is where
you're supposed to step back in.
on Mr. Sullivan tonight.
What do you have for us?
What have I told you since the first
day you stepped into my office?
There are three ways to make
a living in this business,
be first, be smarter,
or cheat.
Now, I don't cheat.
And although I like to think we have some
pretty smart people in this building,
it sure is a hell of a lot
easier to just be first.
Sell it all. Today.
Is that even possible, Sam?
Yes, but at what cost?
I'll have to pay.
Really?
I think so.
Where is this going
to come back to us?
Everywhere.
Sam, I don't think you to understand
what your boy here has just said.
If I made you,
how would you do this?
You call the traders in for their normal
6:30 meeting and you be honest with them.
Because they're going to know
it's the end either way.
You're going to have to throw them
a bone, and a pretty big one.
And then you've got to come
out of the gates storming.
No swaps. No nothing.",why should we sell all the trades before noon? ,,meeting_2,186
